"year","Austria","Belgium","Denmark","Finland","France","Germany","Italy","Netherlands","Norway","Sweden","Switzerland","UK","12 W. Europe","Ireland","Greece","Portugal","Spain","14 small WEC","30 W. Europe","Australia","N. Zealand","Canada","USA","W. Offshoots","Albania","Bulgaria","Czecho-slovakia","Hungary","Poland","Romania","Yugoslavia","7 E. Europe","Bosnia","Croatia","Macedonia","Slovenia","Serbia/Montenegro/Kosovo","F. Yugoslavia","Czech Rep.","Slovakia","F. Czecho-slovakia","Armenia","Azerbaijan","Belarus","Estonia","Georgia","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Moldova","Russia","Tajikistan","Turk-menistan","Ukraine","Uzbekistan","F. USSR","Argentina","Brazil","Chile","Colombia","Mexico","Peru","Uruguay","Venezuela","8 L. America","Bolivia","Costa Rica","Cuba","Dominican Rep.","Ecuador","El Salvador","Guatemala","Haïti","Honduras","Jamaica","Nicaragua","Panama","Paraguay","Puerto Rico","T. & Tobago","15 L. America","21 Caribbean","L. America","China","India","Indonesia (& Timor until '99)","Japan","Philippines","S. Korea","Thailand","Taiwan","Bangladesh","Burma","Hong Kong","Malaysia","Nepal","Pakistan","Singapore","Sri Lanka","16 E. Asia","Afghanistan","Cambodia","Laos","Mongolia","North Korea","Vietnam","24 Sm. E. Asia","30 E. Asia","Bahrain","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Oman","Qatar","Saudi Arabia","Syria","Turkey","UAE","Yemen","W. Bank & Gaza","15 W. Asia","Asia","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cape Verde","Centr. Afr. Rep.","Chad","Comoro Islands","Congo 'Brazzaville'","Côte d'Ivoire","Djibouti","Egypt","Equatorial Guinea","Eritrea & Ethiopia","Gabon","Gambia","Ghana","Guinea","Guinea Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","S. Tomé & P.","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","Sudan","Swaziland","Tanzania","Togo","Tunisia","Uganda","Zaire (Congo-Kinshasa)","Zambia","Zimbabwe","3 Small Afr.","Total Africa","...182","World Total"
1954,31611,53173,32478,20941,259215,366584,214884,73319,21130.8897923299,52936,50705,386789,1563765.88979233,11142,18615,20660,78335,6647,1699164.88979233,70614,18298,120390,1688804,1898106,1516,15029.9259953837,47295.2763819095,27664.4193469187,72525.5468993456,25493,29361.824219591,218885.992843149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596910,92528,110836,25835.3013682947,31042,83258,21817,12488,49820,427624.301368295,5412,2275,12238,3049,7867,3431,6767,3654,2094,2727,2480,1963,2452,5669,2730,64808,5083,497515.301368295,331550,259262,83283,229151,31168,23894,20381,9890,26581,8690,6021,10607,5145,27603,2896,10979,1087101,6059,2670,1306,406,8683,19920,4501.45224312309,43545.4522431231,308.619602306154,28156,14145.1748262792,5775.7328461729,1178.01267637516,5882.390625,4170.90765888104,388.765477578713,1073.18556461001,12114.710342772,13266.3196390406,46757,1589.68678542941,4830.96511493676,1157,140794.471159382,1271440.9234025,13811.0459619173,4703,1812.54237288136,169.052023121387,2399.47339280221,1017.61000219346,3787.63157894737,75.6383955909369,1122.71211378127,1432,99.2167042889391,1143.55176211454,3438.67821330902,107.764565992866,20715.1335311573,136,9409.83333333333,1492.67662263067,197.124653739612,7755.15789473684,941.087111322098,239.857620041754,4695.30631868132,308.382203604976,1039,994,5075.16698473282,1074.28910961334,1945.94142259414,538.822852760736,1433.10241152521,15481,8040.77096936213,1167.76973113617,2331.19764705882,30299.1300668151,1595.62186887388,51,3858.46153846154,75.2511603919546,1638.12322274882,3083,41426.5929906542,7983.28681135225,239.222211904541,4027.83883495146,776.924460431655,4720.00400801603,3982.27424749164,10560.1288319752,2161.43546694648,2554,37,239200.833225987,NA,6421223.94063226
1955,35105,55696,32828,22008,274098,406922,227389,78759,21597.4028551809,54305,54117,400850,1663674.40285518,11432,20022,21512,81457,7001,1805098.40285518,74471,18639,131633,1808126,2032869,1644,16107.0826601269,51347.5711892797,30164.4144365333,76048.5634153942,27337.3645533141,31208.3038751346,233857.300129783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648027,99125,118960,26807.118079372,32242,90307,23439,12593,53991,457464.118079372,5698,2538,12794,3237,8074,3608,6934,3507,2149,3008,2646,2077,2564,5961,3111,67906,5370,530740.118079372,350908,265527,85571,248855,33331,25191,22162,10692,25177,9822,6564,10677,5248,28238,3078,11621,1142662,6180,2614,1347,426,9316,20806,4667.8931570068,45356.8931570068,327.953641604895,28156,13567.8207517372,6558.39175130047,1116.40504036822,6020.35714285714,4505.50787615426,413.120401780982,1099.11897555297,12398.8506706408,11969.9914509618,50528,1628.1013914739,4958.83469625049,1206,144454.453790683,1332473.34694769,14223.6782665791,5080,1812.54237288136,174.002082360967,2488.72716087358,1049.94209256416,3928.64297106402,78.2715860379669,1164.51005394801,1485,102.369074492099,1186.12555066079,3566.69826800365,111.185663325972,21100.8902077151,140,9914.83333333333,1548.24813325675,203.387811634349,7255.97531760436,972.456681699502,230.243423799582,5049.7442002442,318.446560040619,1073,1251,5264.11259541985,1092.54380986165,2018.38772663877,558.882924335378,1478.63576573755,15991,8536.67754897037,1205.82740676496,2417.98682352941,31088.9178173719,1646.31888477456,46,4002.10989010989,77.6420835482207,1695.64928909953,3183,43494.4761682243,8373.19899833055,246.822917633949,4125.34077669903,805.848920863309,4476.94732321786,4243.96655518395,10969.8556461001,2110.81636935992,2756,39,247455.887053895,NA,6830521.05506592
1956,37520,57313,33225,22673,287969,436086,237699,81654,22750.005228093,56340,57710,405825,1736764.00522809,11283,21731,22451,88083,7427,1887739.00522809,77034,19605,142282,1843455,2082376,1711,16121.4447489902,54372.9145728643,28799.2855389148,79450.0966033032,28544,30494.8912809473,239493.63274502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710065,101856,120674,27257.8156698987,33539,96502,24500,12807,58677,475812.815669899,5360,2466,13967,3562,8373,3891,7565,3814,2322,3307,2645,2185,2672,6388,3756,72273,5671,553756.815669899,382892,280978,86700,267567,35670,25311,22540,11280,27821,10472,7136,11320,5484,29069,3200,11698,1219138,6458,2963,1388,448,9444,21631,4852.48333422104,47184.483334221,348.737733851041,30659,14511.301800379,7141.76250928908,1531.78985889987,6463.52232142857,4399.49592612711,439.301945298421,1179.97019790454,13311.5438450075,14175.4329137972,52173,1748.99441637862,5091.05730950373,1260,154434.910777865,1420757.39411209,15619.3463558766,4985,1812.54237288136,178.952141600546,2582.13226699477,1089.93178328581,4072.93369788107,81.6289038579302,1207.28003923492,1540,106.268058690745,1229.68942731278,3697.69553327256,115.417020553763,22103.8575667656,146,10243.0833333333,1605.11200459506,211.134349030471,7683.84609800363,1009.31592689295,262.069728601253,5328.51556776557,330.575399847677,1113,1525,5457.45229007634,1183.81731110323,2092.51882845188,579.876022494887,1534.95333542123,16093,8579.1838272225,1250.89570685169,2506.79435294118,30370.9289532294,1709.02308865171,49,4149.0989010989,80.5992779783393,1760.02369668246,3301,45907.0065420561,9258.76227045075,256.223790509797,4175.77281553398,836.118705035971,4774.8877755511,4479.11036789298,11712.0023282887,2362.22455403987,3148,43,257531.602317841,NA,7151719.45007294
1957,39818,58381,35746,23739,305308,461071,251732,83950,23436.0945381541,58154,60002,412315,1813652.09453815,11266,23147,23445,90901,7752,1970163.09453815,78577,20165,146402,1878063,2123207,1874,17830.5333237161,57703.567839196,31184.1492757181,83641.2714241197,29805,35572.7103336921,257611.232196442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724470,107087,130717,30055.8966448664,34766,103812,25696,12932,67414,512479.896644866,5183,2676,15980,3787,8751,4098,7992,3587,2429,3789,2868,2414,2795,6708,4088,77145,5991,595615.896644866,405386,277924,92631,287130,37599,27262,22792,12110,27231,11089,7729,11257,5484,30339,3352,11869,1271184,6458,3163,1431,473,10230,22486,5046.53611896687,49287.5361189669,370.730203553359,34939,14370.4837334176,7761.3674758484,1570.99471817702,6693.46651785714,4475.69201520913,467.005671578501,1222.68405122235,13785.1110581222,15050.8753265258,56321,1812.26553221661,5227.79612020326,1321,165389.472423931,1485861.0085429,17391.2380170716,5461,1812.54237288136,184.052202635264,2675.53737311596,1131.62316297434,4223.78309409888,81.2339252908757,1251.99411476214,1597,110.25,1275.23348017621,3834.64721969006,119.828435535927,23145.4005934718,151,10167.3333333333,1664.56059735784,219.210526315789,7933.43738656987,1045.39093282696,279.474739039666,5503.74328449328,343.220360497588,1155,1592,5659.58015267176,1233.10500177368,2170.01952580195,601.33563394683,1593.66739743188,16195,8770.46207935711,1298.96856027754,2599.63858823529,31615.4429844098,1773.06142452625,49,4302.76923076923,83.6823104693141,1825.76777251185,3425,47664.7072429907,9133.19732888147,266.024700529297,4276.63689320388,867.061151079137,4578.87432006871,4672.53511705686,12083.075669383,2465.1500524659,3368,46,266967.49828998,NA,7423895.73021234
1958,41272,58316,36551,23867,312966,481599,265192,83701,23436.0945381541,59605,58732,411450,1856687.09453815,11034,24218,23753,94829,7966,2018487.09453815,82351,20957,149021,1859088,2111417,2018,19381.6389209463,62116.6834170854,33272.9609624356,87710.9629167965,31121,37013.5240043057,272634.77022157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778840,113655,142577,31706.1071713606,35639,109333,25775,13292,68540,540517.107171361,5306,3007,15980,3989,9007,4187,8365,3871,2506,3849,2877,2432,2952,6901,4423,79652,6328,626497.107171361,450977,299137,89293,303857,38900,28691,23616,12923,26702,10785,8345,11256,5792,30762,3485,12214,1356735,6821,3322,1476,499,10816,23372,5235.23855175931,51541.2385517593,393.931050711848,39013,16039.1778269109,8319.3742878375,1728.747604316,7023.75,3839.62031504617,496.231580621223,1282.17834691502,14465.3257824143,12971.6995962954,58892,1901.52299920234,5366.79302962594,1380,173113.352419897,1581389.59097166,18022.3227183191,5751,1879.60644067797,189.002261874843,2777.24515533682,1163.10440886159,4381.19115971748,83.0113288426209,1298.65228052967,1657,113.40237020316,1322.7577092511,3977.55332725615,123.159503991846,24244.8071216617,156,10504,1726.59391154509,225.308864265928,7802.69909255898,1076.76050320437,288.425887265136,5563.48000610501,356.123381568926,1188,1755,5870.49618320611,1278.74175239447,2249.2050209205,623.261758691207,1638.00250548074,16299,9188.44048216976,1335.02320034692,2696.51952941176,31256.4485523385,1823.75844042692,54,4463.12087912088,86.0103145951521,1877.81516587678,3520,48664.1841121495,9509.89215358932,273.425387686879,4313.62038834951,898.676258992806,5174.75522473518,4702.8762541806,11735.1944121071,2401.03252885624,3412,49,273020.707938664,NA,7662286.2708414
1959,42445,60160,39270,25285,321924,516821,281707,87793,24423.9955117763,62219,62425,428107,1952579.99551178,11481,25107,25039,92651,8279,2115136.99551178,87421,22449,155062,1997061,2261993,2170,20925.5634737449,64836.7169179229,34621.6425239381,90262.1128077283,32496,41573.7692142088,286885.804937543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770244,106303,154538,29910.3589008917,38207,112599,25907,12125,72658,552247.358900892,5289,3118,14263,4012,9490,4375,8778,3688,2569,4064,2920,2589,2944,7521,4692,80312,6685,639244.358900892,457139,305499,93129,331570,41548,29803,26457,13912,28126,12457,8981,12026,5957,31095,3470,12385,1413554,7016,3646,1521,528,11260,24289,5439.08013805133,53699.0801380513,418.823626308978,42360,16715.104548326,9370.16633638841,1858.49701954274,7747.02901785714,4164.28191200435,527.588545531644,1414.8963911525,15954.9099254844,13459.9270957017,61600,2096.98555348755,5510.14297098814,1462,184660.352942774,1651913.43308082,21323.3811556139,5777,1950.29559322034,195.002333680393,2876.87726853276,1230.3211230533,4541.87856003645,92.754133496632,1346.28249141736,1717,119.955981941309,1372.26211453745,4123.43664539654,130.361814166808,25402.0771513353,165,10790.1666666667,1791.21194715681,238.329639889197,8931.80254083485,1138.71540469974,292.238413361169,5698.88324175824,366.445798425996,1257,1897,6085.80629770992,1324.37850301525,2333.44490934449,646.587423312883,1732.66395239587,16402,9684.347061778,1412.14006938422,2797.43717647059,32620.6273942094,1929.15486822043,49,4626.81318681319,90.9809179989685,1986.01895734597,3726,50835.4614485981,10639.9766277129,289.226854861176,4525.43495145631,932.309352517986,4959.14042370455,4941.8127090301,12144.9212262321,2902.16159496327,3596,53,288032.525926297,NA,8013450.11835733
1960,45939,63394,40367,27598,344609,558482,296981,95180,25798.2492311896,65764,66793,452768,2083673.24923119,12127,26195,26711,94119,8487,2251312.24923119,91085,22449,159880,2046727,2320141,2355,22907.5317368725,69749.4304857621,36430.8494966855,95121.4459333126,33930.7204610951,44189.6153928956,304684.593506623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843434,114614,167397,32391.5431222473,39831,121723,29486,12554,72889,590885.543122247,5516,3389,14419,4209,10106,4553,8992,3926,2728,4330,2960,2744,2970,8066,5258,84166,7060,682111.543122247,441694,326910,97082,375090,42114,30395,29665,14697,29733,12871,9637,12899,6091,32621,3803,12841,1478143,7268,3863,1568,559,11483,25297,5677.31932781296,55715.319327813,445.407930344746,46467,18658.3938723942,9986.14788209066,1977.04504640459,8420.13839285714,4273.60673546985,560.163256652179,1495.74761350407,17547.8178241431,13704.0408454049,63417,2311.655410795,5660.10404301299,1534,196458.268853073,1730316.58818089,22779.7304661852,6011,2010.10949152542,199.952392919973,2961.97969855429,1249.03970168897,4666.49327865117,99.863747703613,1357.94703285924,1730,130.242663656885,1418.79625550661,4492.61075660893,138.914557499575,26617.2106824926,182,11345.6666666667,1866.1688684664,253.987534626039,9591.43666061706,1186.55399952528,308.814613778706,5917.91788766789,393.284082254379,1297,2448,6169.29389312977,1359.97516849947,2399.1520223152,697.903885480573,1841.70435327278,16507,9918.13159216474,1545.341934085,2977.07058823529,34080.5380846325,1989.19080810281,55,4723.69230769231,98.5941206807633,2050.39336492891,3775,52972.2740654206,10838.2370617696,328.83053208283,4710.35242718447,1015.71942446043,5570.70240480962,5176.95652173913,12423.2262320528,3123.19832109129,3762,58,300822.200153286,NA,8432822.17419423
1961,48378,66478,42926,29701,363754,581487,321992,95455,27415.2127121323,69462,72200,467694,2186942.21271213,12706,28492,28170,106187,8876,2371373.21271213,91713,23704,164598,2094396,2374411,2452.86285430018,24401.1889786497,72524.9748743719,38272.9511416646,102714.153942038,36224.8998559078,46189.9683530678,322781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891763,122809,179951,33940.6586817614,41847,126365,32105,12912,70643,620572.658681761,5631,3530,14625,4114,10360,4713,9378,3767,2798,4453,3182,3040,3111,8835,5488,87025,7458,715055.658681761,365092,336744,103446,420246,44480,31930,31210,15708,31421,13183,10276,13794,6238,34602,4123,13104,1475597,7331,3827,1617,592,11972,26554,5977.88980356718,57870.8898035672,473.683962819155,50405,20805.8693935565,11076.7975600694,2381.22847657134,8495.39285714286,4555.2009777295,566.556424255274,1497.27310826542,19631.513561848,14832.0147233436,64480,2526.32526810246,5810.39144605141,1588,209125.247759755,1742593.13756332,20012.6667760998,6635,2075.36101694915,207.002477291495,3080.29283297447,1078.01996051766,4722.24196855776,106.578383343539,1409.46542422756,1753,131.652934537246,1465.33039647577,4912.39744758432,149.627993884831,28372.4035608309,200,11901.1666666667,2089.74727168294,295.686980609418,9930.16769509982,1264.97792546879,330.860960334029,5774.54975579976,400.251713632902,1328,2688,6296.72232824428,1427.51755941823,2414.31520223152,816.864775051125,2261.0905104917,17085,10201.5067805123,1562.36773633998,3100.19011764706,35229.3202672606,1903.80636027009,60,4937.49450549451,93.5605982465188,2087.37440758294,3956,55246.9455607477,10838.2370617696,370.834432166404,4656.55825242718,1085.0035971223,6052.89550529631,5123.85953177257,11070.3546759798,3129.94753410283,3956,62,307340.217442744,NA,8725317.22639996
1962,49550,69904,45295,30627,387937,606292,347098,101993,28187.2265039508,72610,75661,472454,2287608.22650395,13120,29562,30040,118386,9269,2487985.22650395,97444,24215,176130,2220732,2518521,2611.88967612199,26404.7003750721,73496.4154103853,39868.3427449055,101317.095668433,37497.3018731988,47057.2542518837,328253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915928,120833,190932,35548.9827847766,44120,132039,34500,12624,73762,644358.982784777,5945,3746,14845,4815,10911,5276,9709,4128,2959,4533,3529,3295,3330,9500,5781,92302,7878,744538.982784777,366465,344204,103332,457742,46603,32898,33636,16949,31258,14332,12072,14578,6385,37111,4411,13575,1535551,7457,4139,1667,627,12249,29917,6171.54193742758,62227.5419374276,503.651723732204,51389,21840.8821857233,12171.0706589051,2445.63645966951,9473.70089285714,4730.78326996198,680.720131453408,1555.24190919674,21973.5186885246,18350.6198052719,68422,2808.78560666489,5969.54807847563,1683,223998.159410436,1821776.70134786,15764.9812869337,6444,2004.67186440678,213.002549097045,3269.17871424177,1175.86707611318,4866.5326953748,113.22718922229,1372.5277096616,1846,143.598758465011,1512.85462555066,5129.73381950775,158.090708340411,30262.6112759644,221,12389.3333333333,2153.07294658242,292.060941828255,10411.522323049,1359.086636601,352.907306889353,6085.18070818071,461.928154353897,1345,3566,6441.72709923664,1427.51755941823,2427.79358437936,799.13726993865,2277.86595678046,17684,10902.8603716725,1782.70164787511,3427.16329411765,37239.6890868597,2119.93574384666,65,5101.18681318681,101.173800928314,2181.88151658768,4130,58348.7703271028,11591.6267111853,449.241712322407,5080.18737864078,1125.36330935252,5911.76581734898,5332.45484949833,13420.4858362437,3096.20146904512,4016,67,319462.701779265,NA,9136465.61241586
1963,51567,72988,45579,31636,408090,623382,371822,105686,29265.2021579126,76200,79370,490625,2386210.20215791,13741,32567,31823,130477,9756,2604574.20215791,103413,25749,185041,2316765,2630968,2781.5924475115,27611.1158395845,72108.6432160804,42055.8384483182,107391.262075413,40196.3364553314,51967.211517761,344112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895016,117927,192912,37797.8665221512,45571,141839,36098,12686,77134,661964.866522151,6327,4067,15064,5129,11189,5504,10635,3860,3069,4681,3912,3606,3421,10488,6076,97028,8321,767313.866522151,402776,361442,99371,496514,49893,35797,36360,18534,34573,14737,13968,15271,6537,39439,4848,13856,1643916,7594,4451,1718,660,13295,30821,6538.46719711322,65077.4671971132,536.277915048829,57043,21446.5915982312,13461.0084840228,2581.92001810911,9983.75892857143,4770.53775122216,711.163786706244,1657.45005820722,23885.0081669151,18342.2020897649,74866,3096.89515199858,6148.37493738106,1783,240313.188886179,1949306.65608329,19927.7130663165,6791,2097.11152542373,220.052633468567,3227.66533374346,1224.36521166923,5046.8961038961,119.875995101041,1368.63952918097,1819,174.20993227991,1563.34911894273,5972.28441203282,170.964837778155,32287.8338278932,252,14030.5833333333,2229.32222860425,294.038781163435,10774.0239564428,1286.15238547353,369.483507306889,6391.82921245421,510.959634424981,1377,4814,6380.20992366412,1402.87371408301,2591.2189679219,750.153374233129,2595.40119010335,18303,10513.2194876946,1960.97181266262,3766.24658823529,40733.90155902,1911.81115225441,70,5298.28571428571,111.240845796802,2218.86255924171,4290,62622.3955607477,11261.192654424,475.04410808803,5399.59029126214,1180.52158273381,6805.5871743487,5943.07023411371,14123.9790454016,3163.69359916055,3976,72,342260.825706407,NA,9533551.55046976
1964,54662,78128,49843,33235,435296,661273,386333,114446,30721.9218602648,81344,83541,516584,2525406.92186026,14279,35243,33921,143308,10165,2762322.92186026,110488,27004,197098,2450915,2785505,2961.83722124813,29786.9723023658,75494.8073701843,44424.2548490056,112189.853536927,42741.1404899135,56919.1342303552,364518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010727,130074,199423,38638.9040235266,48389,157312,38614,12940,83688,709078.904023527,6632,4265,15296,5472,11977,6017,11128,3772,3229,5050,4370,3761,3569,11232,6283,102053,8790,819921.904023527,450312,389262,103043,554449,51613,38888,38841,20796,34939,14999,15165,16235,6689,42417,4680,14515,1796843,7741,4331,1772,699,14445,32322,6838.32760017594,68148.3276001759,570.595834804095,61178,24023.562223626,14779.933675997,3031.84245076586,10962.0669642857,5058.7577403585,711.772659811301,1712.36786961583,25985.9245305514,18754.6701496082,77951,3414.38057254276,6307.3684042985,1891,256333.243076265,2121324.57067644,20971.4300722259,7587,2240.30237288136,228.002728610922,3302.38941864042,1298.38868172845,5227.25951241741,126.524800979792,1390.99656694458,1773,187.566027088036,1615.82378854626,7041.10300820419,181.678274163411,34448.0712166172,288,14720.75,2268.09304997128,313.981994459834,11005.7872958258,1370.06598623309,391.529853862213,7013.09111721612,552.765422696116,1447,6812,6635.06679389313,1369.10251862363,2714.20920502092,974.079754601227,2416.86251174444,18944,10966.6197890507,2279.45446660885,3776.33835294118,42481.0077951002,1673.00152472228,75,5451.95604395604,116.337287261475,2244.88625592417,3826,66827.0913551402,11142.23639399,544.850589655493,5695.45825242718,1350.70503597122,7099.60735757229,6394.39464882943,13776.0977881257,3585.51941238195,4326,78,360566.484322854,NA,10224885.8808831
1965,56234,80870,52117,35002,456456,694798,395020,120435,32353.4110362452,85422,86195,529996,2624898.41103625,14528,38553,36446,152794,10877,2878096.41103625,116131,28724,210203,2607294,2962352,3155.95898407977,31575.0523658396,78270.351758794,44769.6489074392,118385.503272047,45401.6174351585,58457.8672766415,380016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068117,141960,203444,38951.220099513,50136,167116,41213,13088,89240,745148.220099513,6958,4651,15529,4791,13131,6340,11613,3813,3509,5456,4786,4091,3773,12254,6603,107298,9285,861731.220099513,501769,373814,104070,586744,54331,41230,41933,23111,36647,15379,17360,17405,6849,44307,5033,14971,1884953,7914,4538,1826,740,15370,32666,7218.62260728051,70272.6226072805,607.330509471703,68688,26206.2422615287,16171.3272851127,3379.08549007772,11204.5535714286,5568.9402498642,714.817025336584,1836.69569266589,29137.299076006,18704.1638565661,80008,3762.37170965169,6486.19526320393,2010,274485.021990914,2229710.64459819,22367.0981615233,8194,2356.30508474576,235.052812982443,3429.00522916026,1346.88681728449,5332.1982228298,133.173606858543,1409.46542422756,1783,188.312641083521,1670.27863436123,6886.28805834093,194.462374723968,36724.0356083086,325,15587.6666666667,2305.57151062608,348.429362880886,11154.35353902,1464.1746973653,413.741962421712,7092.74007936508,565.1523229246,1472,8733,6604.30820610687,1554.38772614402,2752.95955369596,1109.36860940695,2494.74851237081,19608,11214.5730788548,2432.68668690373,4060.92611764706,45352.9632516704,1790.40514049227,80,5655.73626373626,116.337287261475,2405.13744075829,3572,70824.9988317757,11895.6260434057,629.858482681772,5900.54854368932,1535.01438848921,7546.51803607214,6534.72240802676,13915.2502910361,4238.50577124869,4608,84,380228.973489175,NA,10760252.2492231
1966,59399,83440,53539,35843,479631,715393,415639,123754,33577.0279182305,88043,88305,540163,2716726.02791823,14652,40907,37929,164199,11398,2985811.02791823,119363,30536,223832,2778086,3151817,3359.99996850447,34066.8747836122,81656.5159128978,47318.9860054014,125856.727952633,50587.6195965418,61605.275780409,404452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119932,142919,216181,43294.7338929644,52806,177427,44689,13536,90842,781694.733892964,7461,5013,16380,5434,13475,6794,12255,3790,3713,5695,4944,4395,3815,13119,6891,113174,9808,904676.733892964,548841,377207,104089,649189,56736,46195,46654,25171,37115,14737,17659,18278,7331,47919,5593,14804,2017518,7993,4744,1883,782,17308,32975,7609.2397787039,73294.2397787039,645.75691257795,75579,27593.3002210992,16348.8749071092,3474.29729117936,12584.21875,5949.92069527431,752.262721297572,2492.65844004657,33373.5730551416,17264.7345048682,89366,4146.51777009661,6673.72818598839,2130,298374.843454679,2389187.08323338,21286.9724228496,8635,2443.30711864407,258.003087638674,3445.61058135958,1408.99846457556,5581.42766005924,139.888242498469,1420.15792054929,1752,208.139390519187,1757.4063876652,7431.11759343665,209.407168337014,36936.2017804154,339,16193.6666666667,2408.96036760482,406.445983379501,11166.2388384755,1495.5442677427,435.62254697286,8004.7206959707,562.313658288906,1751,10345,6740.52480916031,1714.11635331678,2869.21059972106,1115.43328220859,2406.0782962731,20700,11575.876443998,2525.82784041631,4010.46729411765,43893.0525612472,1915.81354824657,86,5816.08791208791,118.791129448169,2558.54028436019,4079,73892.3588785047,11717.1916527546,656.660971306528,6657.02912621359,1676.27338129496,7734.69095333524,6940.53511705686,14858.3950329841,4007.34522560336,4678,91,391056.451537305,NA,11346932.2965819
1967,61205,86695,55339,36600,501799,717610,445232,130267,35674.7227349447,91450,91008,552277,2805156.72273494,15521,43152,40792,175227,11862,3091710.72273494,127422,29142,230647,2847549,3234760,3578.62958101841,35898.0411136757,85153.7018425461,50032.7964645225,130412.352757869,52901.0778097983,62668.4004305705,420645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169422,146755,224877,44700.3295016881,55028,188258,46473,12975,96334,815400.329501688,7928,5320,18294,5617,14188,7164,12757,3713,3922,5915,5288,4762,4058,13944,7035,119905,10359,945664.329501688,533407,408349,101739,721132,59756,49555,50552,27867,36302,15151,17959,18587,7216,49718,6255,16157,2119702,8214,4988,1941,828,18711,28829,7904.17913101767,71415.1791310177,687.808448052712,84102,26952.5780164245,16758.3214639584,3839.27586206897,12885.2366071429,5668.32645301467,1250.32092123397,3014.3776484284,36309.6897764531,18695.7461410591,93377,4570.20827794026,6868.19857044907,2045,317024.088186226,2508141.26731724,23277.3164806303,9064,2466.87016949153,283.953398197681,3748.65825899723,1537.47598157491,5735.55639097744,146.53704837722,1487.22903384012,1764,217.181715575621,1850.47466960352,7538.29717411121,224.351961950059,36473.293768546,362,16875.4166666667,2508.47214244687,420.620498614958,11368.2889292196,1542.59862330881,463.304801670146,8418.8952991453,623.990099009901,1740,11515,7114.02194656489,1889.3614757006,2963.55927475593,1154.15388548057,2510.32571249609,21853,12369.3269713712,2423.67302688638,4028.63247058824,37072.1583518931,2050.56087998257,91,5745.93406593407,118.791129448169,2542.10426540284,4313,78958.6726635514,11353.7141903172,719.066765716408,6926,1769.10071942446,7683.72745490982,7312.21404682274,14711.5118354676,4317.80902413431,5068,98,398811.203268804,NA,11769154.5228227
